smiles,pxr,null,sp_med
Brc1c(NC2=NCCN2)ccc2nccnc12,,,0.1794035484493075
Brc1ccc(-c2n[nH]cc2CN2CCN(C3CCOCC3)CC2)cc1,,,0.0403449254309826
Brc1ccc(-c2noc(-c3ccnn3C3CCCC3)n2)o1,,,0.6511537151815948
Brc1ccc(C2(CNC(c3cccnc3)c3ncc[nH]3)CCOCC2)cc1,4.51,4.43,0.9594859067912078
Brc1ccc(Cc2nc(N3CCNCC3)no2)c2ccccc12,,,0.471455763498293
Brc1ccc2[nH]c(-c3noc([C@@H]4C[C@H]5CC[C@@H]4O5)n3)cc2c1,,,0.2558256914896692
Brc1cccc(C2CCN(c3ncnc4nc[nH]c34)C2)c1,,,-0.0959237789664046
Brc1cccc2c1CCC2NCc1noc2c1COCC2,5.06,3.81,1.2961493967926863
Brc1cccc2c1OCCC2Nc1ncnc2[nH]ncc12,,,0.2037955630377912
Brc1ccccc1C1CCCN1c1ncnc2[nH]ncc12,5.66,,1.0642820154700876
Brc1cnc(C2CCCN2c2ncnc3[nH]ncc23)nc1,,,0.3421608748974619
Brc1cnc(C2CCCN2c2ncnc3c2CCC3)nc1,,,0.3671551742067872
Brc1cncc(-c2cn(Cc3ncc(C4CC4)o3)nn2)c1,,,0.4482628019624494
Brc1cnn2ccnc(NCC3(N4CCOCC4)CCCOC3)c12,,,0.2098525398807448
C#CC(C)(C)N,2.01,,
C#CC(C)(C)N1CCN(S(=O)(=O)N2CC3CCC2C3)CC1,4.93,3.04,1.2358120476372212
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,3.92,,
C#CC1(O)CCN(C(=O)NCCc2c(C)[nH]c3ccccc23)CC1,,,0.30821527876497695
C#CCC(Cc1ccccc1)Nc1ccc2nccnc2n1,4.87,5.37,0.911925559922628
C#CCCC(=O)Nc1nc(-c2ccc(NS(C)(=O)=O)cc2)cs1,,,-0.0677852347248558
C#CCCN1CCCN(c2ncc(S(N)(=O)=O)cn2)CC1,,,0.13054502376685376
C#CCN(C(=O)c1cnc(Nc2ccc(F)c(F)c2)c(Cl)c1)C1CCN(C)CC1,,,0.5846578557327342
C#CCN(C)Cc1ccccc1,2.59,2.08,-0.0010937875600199529
C#CCN(C)[C@H](C)Cc1ccccc1,2.63,2.97,-0.13615871662169005
C#CCN(Cc1ccccc1)C(=O)C(C)NC(=O)c1cccc(Cl)c1Cl,5.39,4.01,1.5352294675525262
C#CCNC(=O)CSc1nnc(Nc2ccc(C(C)C)cc2)s1,,,0.5474133836483421
C#CCNS(=O)(=O)c1cccc(-c2nc(-c3ccc4[nH]ccc4c3)no2)c1,5.13,2.97,1.1133166748535461
C#CCN[C@@H]1CCc2ccccc21,,,0.0014270781017934504
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,3.73,1.86,0.916124599558763
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,5.14,2.74,1.1395123006876915
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,,,0.3725390123005402
C#Cc1ccc(-c2nnc([C@H]3CCO[C@@H]3c3ccccc3)[nH]2)nc1,,,0.25399494578550197
C#Cc1ccc(C2CCCN2C(=O)c2cnccc2C)cc1,,,0.713241023980805
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.81,3.07,0.9475464717463303
C#Cc1ccnc(N(CC)C(=O)c2cccc(OCCOC)c2)c1,4.82,2.11,0.8057811422140715
C(=C\c1ccccc1)/CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,,0.4779050687786615
C/C=C/CCCN(Cc1cn[nH]c1)c1cc(C(N)=O)nc(C2CC2)n1,5.01,5.43,1.7261351956647155
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,3.27,1.81,0.0342040084560759
C/C=C/c1ccc(OC)cc1,1.87,2.01,0.001914598328270442
C1=C(CCNc2ncnc3c2cnn3-c2ncccn2)CCOC1,,,0.01123165159396345
C1=C([C@@]23CCCN(Cc4ccccn4)[C@H]2CCOC3)CCOC1,3.76,,
C1=C(c2c[nH]c3ncccc23)CCN(Cc2cn(Cc3ccccc3)nc2-c2cccnc2)C1,4.55,5.54,0.9766211476467777
C1=CC2(CCCN(c3ccc4nccnc4n3)C2)Oc2ccccc21,,,0.6643956584466401
C1=C[C@@H](CNc2ncnc3c2cnn3-c2ccccc2)[C@H]2CO[C@@H]1C2,,,0.3981793533191479
C1CCC2(CC1)NCCO2,1.98,,
C1CCCNCC1,2.49,,
C1CCCNCCC1,1.97,,
C1CCN(C2CCNCC2)C1,1.89,,
C1CNCCN1,,,0.0096684432527361
C1COCCN1,3.18,,
C1N2CN3CN1CN(C2)C3,,,-0.0571001085639759
C=C(C)C1OCCC1CNC(=O)C1CCCCN1C(=O)c1cccs1,5.03,2.31,0.8111264185899987
C=C(C)C1OCCC1CNC(=O)CCn1c(C)c(C)sc1=O,,,0.06448600839404614
C=C(C)C1OCCC1CNC(=O)N1CCC(c2c[nH]c3ccccc23)CC1,,,0.655120076428624
C=C(C)C1OCCC1CNC(=O)N1CCCC1c1nc2cc(C)ccc2[nH]1,4.22,2.31,0.7509903672944822
C=C(C)C1OCCC1CNC(=O)NC1CS(=O)(=O)c2ccccc21,,,0.2514044892396487
C=C(C)CCN(CC(=O)NC)C(=O)c1ccc(NC(C)=O)c(F)c1,,,0.03822338953162315
C=C(C)CN(C)c1ccc(Br)c(S(=O)(=O)N2CCOCC2CC2CCOC2)n1,5.98,2.85,1.1717917351032232
C=C(C)CN(Cc1ccccc1)C(=O)C(=O)Nc1ccc2c(c1)C(=O)NCC2,4.81,4.22,1.1370485518664868
C=C(C)CN1CCC(NC(=O)C2CCCN(C(=O)C(C)(C)C)C2)CC1,,,0.1985588976923866
C=C(C)Cn1c(-c2cnccn2)nnc1N1CCC(C)(COC)CC1,,,0.29179225432565736
C=C(C)Cn1c(C(O)C2CC2)nnc1N1CCC2(CCCCO2)CC1,,,0.6290752772242593
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,,,0.05762789091587735
C=C1CC(C)(C(=O)N[C@H]2CCCCC[C@H]2NC(=O)C2(C)CC(=C)C2)C1,5.16,3.19,1.235794366067147
C=C1CC1C(=O)N(C)CCN(C)C(=O)c1cc2ccccc2c(OC)n1,5.11,,1.5212412748258899
C=C1CCC(CNc2nc(C)ccc2S(=O)(=O)N2C3CCCC2CC(=O)NC3)CC1,5.53,2.02,1.3536949703617176
C=C1CCN(C(=O)NCc2cc(OC)ccc2OC(F)F)CC1,4.69,3.72,1.841694056915661
