cell_iname	cellosaurus_id	donor_age	donor_age_death	donor_disease_age_onset	doubling_time	growth_medium	provider_catalog_id	feature_id	cell_type	donor_ethnicity	donor_sex	donor_tumor_phase	cell_lineage	primary_disease	subtype	provider_name	growth_pattern	ccle_name	cell_alias
1HAE	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	unknown	unknown	normal fibroblast sample	""	unknown	""	""
AALE	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	unknown	unknown	normal epithelium sample	""	unknown	""	""
AG06263_2	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
AG06840_A	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
AG078N1_1	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
C42	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
CD34	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	unknown	unknown	normal stem cell sample	""	unknown	""	""
HAP1	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	chronic myeloid leukemia (cml)	""	unknown	""	""
HEK293T	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	293T
HIMG001	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
HIMG002	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
HME	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	unknown	unknown	normal epithelium sample	""	unknown	""	HMLE
HMELZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
HPTEC	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	unknown	unknown	normal epithelium sample	""	unknown	""	""
HS27A	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
HUES3	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	unknown	unknown	normal stem cell sample	""	unknown	""	""
HUH751	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	hepatoma	""	unknown	""	""
HUVEC	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	unknown	unknown	normal umbilical vein sample	""	unknown	""	""
IPS-15-2	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
IPS-3	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
IPS-ND34732	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
LHSAR	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	unknown	unknown	normal prostate sample	""	unknown	""	""
MCH58	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF0067SZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF015CN	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF022CN	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF027CN	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
