name,is_unblind,truth_if_unblind,group_label,scaf_train_freq,nn_sim_train,best_pred_nb390,logp,fsp3,mw,tpsa,formal_charge,num_aromatic_rings,sa_score,qed,chemprop_disagreement_std,nn_sim_train,classifier_score,predicted_class,used_in_training
OADMET-0006615,True,5.335,F2_gate_active,0,0.5217391,5.455008513959555,3.187000000000002,0.7142857142857143,359.51400000000007,56.67,0,1,3.5035644774562247,0.881020137003388,0.5770752959314036,0.5217391,0.9796886411154819,F2_gate_active,True
OADMET-0006613,False,,,0,0.5441176,4.659009445736938,2.6207400000000014,0.5882352941176471,315.421,55.95,0,2,3.029766641970115,0.8746587612539317,0.137253806791127,0.5441176,0.9576162090283076,F2_gate_active,False
OADMET-0006612,True,4.28,mid,0,0.5873016,4.851607340655817,2.872600000000001,0.125,279.299,62.13,0,3,2.335583074526463,0.7842233115857632,0.1848021354123088,0.5873016,0.7139014919603212,F2_gate_active,False
OADMET-0006608,False,,,0,0.47540984,4.617918029517816,2.5654000000000003,0.3888888888888889,325.41600000000005,61.36000000000001,0,2,2.2851097270669403,0.9216879537828967,0.4648302401441184,0.47540984,0.9930962978726013,F2_gate_active,False
OADMET-0006605,False,,,0,0.5106383,5.516622639409022,3.4073600000000024,0.5294117647058824,336.45700000000005,73.06,0,2,2.7154219923937575,0.8552484650653968,0.0566134257361264,0.5106383,0.5734389931664329,uncertain,False
OADMET-0006600,True,3.99,mid,0,0.5625,4.360121896813995,1.1723999999999997,0.45454545454545453,283.35699999999997,81.81,0,2,3.0021883100403546,0.9164718333279639,0.619535548508951,0.5625,0.016707865409556336,F2_dead,False
OADMET-0006596,True,4.89,mid,0,0.5625,5.199184292530691,2.6221000000000005,0.6111111111111112,300.402,52.57000000000001,0,1,4.403810591922854,0.8380634644966132,0.2931804640539275,0.5625,0.824713464098273,F2_gate_active,False
OADMET-0006594,False,,,0,0.5967742,5.475047654859397,4.067900000000003,0.2222222222222222,388.2400000000002,38.13,0,3,2.5940031659809684,0.6305881455693136,0.3811869053159323,0.5967742,0.9790715599307181,F2_gate_active,False
OADMET-0006593,True,4.46,mid,0,0.43661973,4.801483404157429,2.0247,0.5,308.38500000000005,61.88,0,2,4.409454641840507,0.9230956033638961,0.377594617403829,0.43661973,0.8881291782549815,F2_gate_active,False
OADMET-0006590,False,,,0,0.515625,5.4686547165415655,4.174800000000004,0.2631578947368421,384.27700000000004,38.13,0,3,2.994279992556436,0.63162250156,0.231653224635698,0.515625,0.9422813103483849,F2_gate_active,False
OADMET-0006589,True,3.42,,0,0.50877196,4.171539169435871,1.56344,0.5384615384615384,258.329,59.730000000000004,0,2,3.125987911879773,0.8178587520792564,0.6891054287209979,0.50877196,0.04427899924574518,F2_dead,True
OADMET-0006588,False,,,0,0.52112675,5.381587148352312,3.480220000000002,0.23809523809523808,399.87800000000004,76.38000000000001,0,3,2.7550419765287675,0.6649294184710175,0.1369150541245793,0.52112675,0.9192297426303349,F2_gate_active,False
OADMET-0006587,True,5.31,F2_gate_active,0,0.54545456,5.076888929044669,2.08964,0.5333333333333333,295.40399999999994,54.45,0,1,1.9843146765103175,0.8577388970606312,0.4526406926520631,0.54545456,0.9397923514818922,F2_gate_active,True
OADMET-0006586,False,,,0,0.57746476,5.158696869771709,2.4412200000000004,0.4444444444444444,361.46700000000016,65.38000000000001,0,2,3.1957222377568906,0.8860916546744683,0.0907911138468326,0.57746476,0.966619930156383,F2_gate_active,False
OADMET-0006584,False,,,0,0.49315068,5.240372608690226,2.8767200000000015,0.47368421052631576,343.42700000000013,65.38000000000001,0,2,2.8152384829201775,0.9269692607015838,0.164838044710351,0.49315068,0.7927924555205677,F2_gate_active,False
OADMET-0006583,False,,,0,0.4923077,5.425307712774705,3.187400000000002,0.47619047619047616,368.4810000000001,78.08999999999999,0,2,3.3533539558343035,0.8506992186748632,0.1747118593961195,0.4923077,0.841855375828468,F2_gate_active,False
OADMET-0006582,True,4.67,mid,0,0.516129,4.556490316058315,2.8377000000000017,0.2777777777777778,314.36,41.57000000000001,0,2,2.425939973629129,0.943354647958227,0.2489822467913168,0.516129,0.949088783616977,F2_gate_active,False
OADMET-0006581,True,5.395,F2_gate_active,0,0.5555556,5.573786186988538,3.9729000000000028,0.42105263157894735,393.41300000000007,61.36000000000001,0,2,2.3361081363786393,0.8571976131723261,0.1839347040029188,0.5555556,0.9807295144336724,F2_gate_active,True
OADMET-0006579,True,5.15,F2_gate_active,0,0.5070422,5.185550782255901,3.715600000000003,0.375,356.369,44.120000000000005,0,2,2.9106045605916258,0.47584150488410465,0.3388914271667325,0.5070422,0.9444918464862356,F2_gate_active,True
OADMET-0006578,True,4.890000000000001,mid,0,0.49019608,5.078530166365207,2.7171400000000014,0.2857142857142857,279.36100000000005,50.52,0,2,1.982229712755288,0.8643258820086972,0.5219426922368006,0.49019608,0.9893174618337486,F2_gate_active,False
OADMET-0006575,False,,,0,0.5441176,5.240809440659543,4.291300000000004,0.32,402.494,43.7,0,3,2.982374681019003,0.6394429016615851,0.1862332672574934,0.5441176,0.9320011481222737,F2_gate_active,False
