smiles,log2_fc_estimate,log2_fc_stderr,median_log2_fc
CN1N=NN=C1C1=CC=CC(NC(=O)C2CNC(=O)C2)=C1,-0.0600846905615396,0.1133244693261008,-0.0198117225342427
CC1=C(OC(F)(F)F)C=CC=C1C(=O)NC1=C2N=CC=CN2N=C1,0.5449378411196422,0.1141638328273687,0.5432334492566353
CC1=NOC(C2CCN(C(=O)CCN3NC(=O)C4=CC=CC=C4C3=O)CC2)=N1,-0.0150177244630254,0.1141638328273687,-0.0167221163260322
CC1=CSC(C(=O)NC2=CC=CN=C2N2CCOCC2)=C1Cl,0.6789147216724719,0.1272225788727724,0.680082753077126
CC1=CC(Br)=CC=C1N1C=C(C2(O)CCCN(C(=O)CC3=CC=CN3C)CC2)N=N1,0.637108637061189,0.1123617202162353,0.6332385111648331
CC1=NC(C2CC2)=CC=C1C(=O)NC1=NN=C(C2=CC=CC=C2)S1,0.6357171352262225,0.1123617202162353,0.6318470093298666
CC1=NNC(C)=C1C(C)C(=O)N1CCCCC1C1=NN=C([C@H]2CCCO2)O1,0.5334374976472348,0.1398433895982815,0.5287778478360856
O=C1C(O)=C([C@H]2CC[C@H](C3=CC=C(Cl)C=C3)CC2)C(=O)C2=CC=CC=C12,0.7785470061599913,0.150159342434986,0.7815383632141324
CC1=CN=CC(C2=NC(CCC3=CC=C(OC(F)F)C=C3)=NO2)=C1,0.5411659618899175,0.1089205322121926,0.5540402266358108
O=C(NC1=NC=CS1)N1CCN(C2CCN(C3=CC=CC=C3)C2=O)CC1,0.1300460632511351,0.1398433895982815,0.125386413439986
CN1CC(NC2=NC(C3=CC=C(F)C=C3)=NO2)CCC1=O,0.1496092971435032,0.1255367520260812,0.1665357625152033
CCOC(=O)CCCS(=O)(=O)N1CCC(N2C=C(C)C=N2)CC1,0.1867982831154715,0.1405977418886416,0.1791521881697609
COC1=CC=C(C2=CN(C(C)C3=NN=C(C)S3)N=N2)C=C1OC,0.4985290508488616,0.1460822329375311,0.5261108134804243
CC1=NOC2=NC(C3CC3)=CC(C3=NC(C4=CC=C5OCCC5=C4)=NO3)=C12,0.051153781987584,0.1123617202162353,0.047283656091228
CC1=CC=C(N2C=NC(=O)N2CCC2CCNC2)C=C1Cl,0.8238106297947896,0.1083286183807646,0.8096628289177584
C1=CC=C(N2N=CC(CN3CCO[C@H]4COCC[C@H]43)=N2)C=C1,0.2396647923477752,0.1405977418886416,0.2320186974020646
O=C(O)CC1(NC(=O)C2=CC(C3=CC=CC=C3)=NS2)CCOCC1,0.4776488170814993,0.1089205322121926,0.4905230818273925
CC(=O)NC1=CC=C(C(F)(F)F)C=C1NC(=O)[C@@H]1C[C@H]1C(=O)O,-0.0220615578454516,0.1113248171107142,-0.0477463153009351
CCC1=NC(O)=C(C(=O)N2CCCC2C2=CC=C(OC)C=N2)C=C1C,0.0645513749733855,0.1460822329375311,0.0921331376049482
CCN(CCC1=NNN=N1)C(=O)C(C)CCC1=CC=CC=C1F,0.7799118988475802,0.1255367520260812,0.7968383642192803
CC(C)N(C)C(=O)C1CCN(C(=O)C2=CC=NC3=CC=NC=C23)CC1,0.0980922976241183,0.1255367520260812,0.1150187629958184
O=C1NCCCN1C1=CC=CC(C2=CC=C(OC3CC3)C=C2)=C1,0.7574695124592267,0.1255367520260812,0.7743959778309267
CC1CN(C(=O)CS(=O)(=O)C2CC2)CC2=CC=CC=C2O1,0.4973336873933983,0.1255367520260812,0.5142601527650984
CCC1=NC2=C(C(=O)N3CCCCC3C3=CN=CN3C)C=CN=C2N1,-0.0152894953160705,0.1405977418886416,-0.022935590261781
CC1CCOCCN1C(=O)C1=CC=C(C2=NOC(C(F)F)=N2)C=C1,0.8982760468712762,0.1460822329375311,0.9258578095028388
CCOC(=O)C1=C(C)N=C(C2CCN(C3=NC=CS3)CC2)N1,0.3694062878744757,0.1123617202162353,0.3655361619781198
O=C(NC1=CC=C(C(=O)N2CCNC(CC(F)(F)F)C2)C=C1)C1CC1,0.4158001425830355,0.1083286183807646,0.4016523417060044
CN(C(=O)C1=CC=NC=C1)C1=CC=C(CNC(=O)C2=CC(=O)NC3=CC=C([N+](=O)[O-])C=C23)C=C1,0.0852603152755638,0.1398433895982815,0.0806006654644147
ClC1=CC=CC2=C1C=C1CN(CC3=NN=C(C4=CC=CC=C4)O3)CCN12,0.7347619902489491,0.1141638328273687,0.7330575983859421
CC(C)(NC(=O)CC1CC(=O)NC1=O)C1=CC=CC(C(F)(F)F)=C1,0.678192582059611,0.1113248171107142,0.6525078246041274
COC1=CC=NC(N2CCC(NC(=O)C3=CC=CC=C3C)CC2)=N1,0.5786203785677145,0.1141638328273687,0.5769159867047077
O=C(CN1CCCS1(=O)=O)NCC1CC2=CC=CC=C2O1,0.154610117485123,0.1255367520260812,0.1715365828568231
CC1=NN2N=C(N3CCC(C4=CC=NC=N4)CC3)C=CC2=N1,0.091133373442212,0.1141638328273687,0.0894289815792052
N#CC1=C(F)C=CC=C1N1C=CC(NC(=O)NCC2=NN=C(C3CC3)O2)=N1,0.7132139229020545,0.1141638328273687,0.7115095310390477
