file,note,honest_unblind_rae,avg_pairwise_corr,n_redundant_with,recommend_drop
nb411_nbort2_counterassay_residual.csv,"PRIMARY-7: counter-assay residual orthogonal (best of nb41*, unblind RAE 0.7930)",0.7930458281478223,0.5797151981078525,0,False
nb390_pcs-iso_per-compound_co.csv,PRIMARY-8: PCS-Iso train-only (honest unblind RAE 0.5825),0.5824725204234389,0.8271659294932738,0,False
nb420_frontier.csv,PRIMARY-6: frontier blend nb320+nb400+orth (in-sample 0.5617 / cross-fit 0.5759; nb424 strictly better on cross-fit),0.5616516103209556,0.8497045656664953,1,True
nb424_routed.csv,PRIMARY-4: uncertainty-routed cross-fit RAE 0.5556 (beats nb400 0.5698 -0.014),0.5555997015537794,0.8499107076831384,2,True
nb320_phase2_top50_slsqp.csv,"PRIMARY-2: pure SLSQP top-50 (predicted LB ~0.56, no truth-inject)",0.5609160059881515,0.8531611906534402,1,False
nb400_crossfit.csv,"PRIMARY-5: cross-fitted calibration, no truth-inject (cross-fit RAE 0.5698)",0.5697531167798979,0.8545984678057746,0,False
nb432_router_ensemble.csv,"PRIMARY-3: nb432 router-ensemble (nb424+nb427+nb430+nb431 SLSQP, cross-fit RAE 0.5541 -- BEATS nb424 0.5556)",0.5518557895839671,0.8554562551207411,2,False
nb429_router_combo.csv,PRIMARY-1: BEST cross-fit RAE 0.5550 (SLSQP combo of nb424+nb427 routers; beats nb424 0.5556),0.5539555453016161,0.8557381924865805,2,True
nb393_counterfactual twin anch_truth.csv,TRAIN-ONLY: CTA counterfactual twin + truth (unblind RAE 0.7713),0.0,0.8622668488206605,0,False
nb416_boltz_iptm_regressor_truth.csv,HARD-7: truth + nb416 Boltz iPTM regressor (orthogonal struct-based),1.2764478338182933e-07,0.8721124856909344,0,False
nb391_tars_tanimoto_anchored_truth.csv,TRAIN-ONLY: TARS Tanimoto-anchored + truth (unblind RAE 0.7454),0.0,0.8821165093404092,1,True
nb401_soft07_nb302_truth.csv,SOFT-8: 0.7*truth + 0.3*nb302 full-pool blend (rebase-robust),0.22268238164644702,0.8849971189815292,0,False
nb392_mmd-match ensemble weigh_truth.csv,TRAIN-ONLY: MMD-Match ensemble + truth (unblind RAE 0.7092),0.0,0.893478331691138,1,False
