target,idx,rho,pval,n
CHEMBL3594,1545,0.4356975453976116,1.9794156213984293e-07,131
CHEMBL203,477,-0.3918416141885764,2.995480623391112e-05,107
CHEMBL3242,1293,0.34893285195791185,0.00010773604703987502,118
CHEMBL261,943,0.2957384060280932,0.0002899509338335477,146
CHEMBL205,492,0.259150391710853,0.0007761884715311962,165
CHEMBL253,903,0.23010365533064278,0.0035244085204750517,159
CHEMBL222,696,0.22848794598313676,0.007688328123863511,135
CHEMBL273,995,0.2276533538969557,0.015777769424463264,112
CHEMBL6020,2747,0.22750455246587714,0.012087701285650874,121
CHEMBL217,659,0.2229883094770281,0.0010506082444775436,213
CHEMBL237,808,0.20866803746749937,0.013023079822329756,141
CHEMBL234,772,0.19189592916084533,0.007993507600716855,190
CHEMBL1293237,109,-0.16302113151067993,0.05983101791722431,134
CHEMBL1963,425,-0.15628882179423295,2.923169277435503e-07,1066
CHEMBL1741189,206,-0.15329718225119945,0.12783025153146704,100
CHEMBL340,1410,0.14473842117680952,0.00020176276599588299,655
CHEMBL229,731,0.14389706215816533,0.08206527420909847,147
CHEMBL4235,1973,0.14313433060764638,0.09896674852630846,134
CHEMBL1293234,106,-0.1399382727013366,0.001393148744034853,519
CHEMBL219,685,0.132498190046801,0.16566354081226412,111
CHEMBL1293235,107,-0.12636637056961394,4.833463548229613e-07,1576
CHEMBL1075138,21,-0.12342014836145745,0.004744863287574582,522
CHEMBL214,623,0.1220710119860619,0.1302454811559648,155
CHEMBL218,670,0.11459102280200457,0.15979965466322182,152
CHEMBL228,723,0.11339778882228102,0.19373161061956012,133
CHEMBL3397,1406,0.11009705262787457,0.016035899153686046,478
CHEMBL264,958,0.10925599123563987,0.198794113335905,140
CHEMBL5514,2566,-0.10756839891095699,0.0014485851341035035,874
CHEMBL4372,2048,0.10563429509200803,0.03291379728284288,408
CHEMBL279,1026,0.09819223242641979,0.3097268515719721,109
CHEMBL1947,413,0.09817272845753032,0.14855295426254972,218
CHEMBL1293226,99,-0.09283603674398809,0.0008507353380669703,1288
CHEMBL4159,1944,-0.08600100808973374,0.020825608676320963,722
CHEMBL5567,2588,-0.08508092873365035,0.2162162928012059,213
CHEMBL238,814,0.081587978448797,0.346847834118903,135
CHEMBL2409,835,0.0795195956689067,0.2983480753517811,173
CHEMBL5149,2423,-0.07754126575647421,0.31923645065127326,167
CHEMBL3356,1380,-0.0752713743106453,0.07129784854308827,575
CHEMBL289,1074,-0.07486972529760474,0.13398707647772284,402
CHEMBL1293303,152,-0.07394407086182131,0.0031563732429869718,1592
CHEMBL3563,1519,-0.07296340657103945,0.042025175094676036,777
CHEMBL1287622,90,0.07167731090782191,0.049737546930566166,750
CHEMBL4805,2297,-0.06216366495239506,0.5247184795667756,107
CHEMBL224,704,0.057127715313822554,0.4513899901128561,176
CHEMBL4096,1883,-0.053468020667980135,0.14511547148611037,744
CHEMBL1293316,157,0.05112493613322339,0.5182158561394432,162
CHEMBL1293238,110,-0.04944783372547831,0.138705812684915,898
CHEMBL1833,301,0.04474198444244879,0.6077199156088736,134
CHEMBL1293231,104,-0.04259396929982468,0.04882168914472172,2140
CHEMBL240,831,0.04143090595112941,0.5169117228057005,247
CHEMBL1293255,122,-0.039091815931689235,0.2138162181888151,1013
CHEMBL325,1298,-0.03837170008670816,0.6549978812152499,138
CHEMBL1293248,118,-0.03335043312773238,0.3510360353214668,784
CHEMBL2524,898,-0.030273972915899935,0.7186945413622534,144
CHEMBL1293254,121,0.02727093016772511,0.27028659591904414,1636
CHEMBL1293232,105,-0.027246227280118437,0.2801618578924371,1573
CHEMBL1865,322,0.02619101713291526,0.7604205990550313,138
CHEMBL276,1015,-0.025433793069115702,0.7671463475135204,138
CHEMBL1293236,108,0.024659989704977327,0.7243128689478947,207
CHEMBL256,916,-0.02430004774012545,0.774862201891917,141
CHEMBL4040,1853,-0.02426732493857226,0.5061096268047969,753
CHEMBL1293247,117,-0.024257031132387436,0.8078401655319384,103
CHEMBL6110,2775,-0.020663564838523673,0.4977430220420369,1079
CHEMBL216,643,0.02030600542151079,0.8272311656741023,118
CHEMBL2608,942,0.017984457046086526,0.6042314017437385,833
CHEMBL225,711,-0.0173508448722574,0.8446617203322329,130
CHEMBL4261,1980,0.016554485435938137,0.8406454899220718,150
CHEMBL2903,1081,0.015875875005253295,0.7755509584605942,325
CHEMBL1293277,137,0.015420142652172843,0.6180418043818525,1048
CHEMBL2392,827,0.015025913794340437,0.6288717674243427,1037
CHEMBL1293227,100,-0.012911905650581555,0.8191588446334414,316
CHEMBL2026,471,-0.012119416109904227,0.549102060193698,2446
CHEMBL3797,1681,-0.011988126390020774,0.8692607599791468,191
CHEMBL233,759,0.011745096009624206,0.8850501546951867,154
CHEMBL1293299,150,0.011230260636843833,0.7399487449333182,876
CHEMBL3622,1563,0.00995118603995617,0.8078109626554649,600
CHEMBL3577,1528,-0.00792723015499052,0.7050090554685422,2283
CHEMBL211,584,-0.00737037242867131,0.9385227654906408,112
CHEMBL5162,2428,-0.0061447902291355315,0.8778599522897149,628
CHEMBL1293224,98,0.005130348779410539,0.8373788620358726,1603
CHEMBL1293294,147,0.004307549987354502,0.882837576797746,1173
CHEMBL1075189,33,-0.0001629227724676199,0.9973855489924238,407
